USER_KEY,USER_EMAIL,USER_NAME,USER_ADDRESS,IP_ADDRESS,TRANSACTION_REFUSED,CUSTOMER_FRAUDED_ONCE
1252,EMAIL2@GMAIL.COM,NAME016,ADDRESS 6,127.0.0.43,1,1
1252,EMAIL2@GMAIL.COM,NAME052,ADDRESS 36,127.0.0.42,1,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.48,1,1
1252,EMAIL2@GMAIL.COM,NAME047,ADDRESS 18,127.0.0.33,1,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.65,0,0
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.72,0,0
1800,EMAIL4@GMAIL.COM,NAME001,ADDRESS 47,127.0.0.25,1,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.50,1,1
1696,EMAIL1@QQ.COM,NAME009,ADDRESS 3,127.0.0.13,0,1
735,EMAIL2@HOTMAIL.COM,NAME028,ADDRESS 56,127.0.0.27,0,0
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.72,0,0
735,EMAIL2@HOTMAIL.COM,NAME024,ADDRESS 54,127.0.0.67,0,0
1641,EMAIL2@QQ.COM,NAME069,ADDRESS 37,127.0.0.23,1,1
827,EMAIL3@GMAIL.COM,NAME034,ADDRESS 71,127.0.0.18,0,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.63,1,0
4108,EMAIL3@HOTMAIL.COM,NAME063,ADDRESS 42,127.0.0.57,1,0
77,EMAIL1@GOG.DE,NAME042,ADDRESS 60,127.0.0.75,1,0
1800,EMAIL4@GMAIL.COM,NAME039,ADDRESS 10,127.0.0.53,0,1
1696,EMAIL1@QQ.COM,NAME009,ADDRESS 3,127.0.0.13,0,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.64,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.50,0,1
735,EMAIL2@HOTMAIL.COM,NAME033,ADDRESS 56,127.0.0.67,0,0
1800,EMAIL4@GMAIL.COM,NAME048,ADDRESS 9,127.0.0.37,1,1
2064,EMAIL5@GMAIL.COM,NAME071,ADDRESS 62,127.0.0.35,1,0
4108,EMAIL3@HOTMAIL.COM,NAME006,ADDRESS 28,127.0.0.54,0,0
2064,EMAIL5@GMAIL.COM,NAME071,ADDRESS 62,127.0.0.35,1,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.45,0,1
1696,EMAIL1@QQ.COM,NAME038,ADDRESS 67,127.0.0.14,0,1
4052,EMAIL1@GMAIL.COM,NAME067,ADDRESS 35,127.0.0.51,0,1
735,EMAIL2@HOTMAIL.COM,NAME028,ADDRESS 51,127.0.0.67,0,0
4108,EMAIL3@HOTMAIL.COM,NAME073,ADDRESS 38,127.0.0.57,1,0
735,EMAIL2@HOTMAIL.COM,NAME033,ADDRESS 53,127.0.0.67,0,0
1696,EMAIL1@QQ.COM,NAME038,ADDRESS 67,127.0.0.14,0,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.45,0,1
1696,EMAIL1@QQ.COM,NAME009,ADDRESS 3,127.0.0.13,0,1
1696,EMAIL1@QQ.COM,NAME051,ADDRESS 64,127.0.0.10,1,1
1800,EMAIL4@GMAIL.COM,NAME011,ADDRESS 68,127.0.0.73,1,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.32,0,0
4052,EMAIL1@GMAIL.COM,NAME005,ADDRESS 31,127.0.0.22,0,1
1696,EMAIL1@QQ.COM,NAME065,ADDRESS 26,127.0.0.10,1,1
1252,EMAIL2@GMAIL.COM,NAME041,ADDRESS 46,127.0.0.43,1,1
1641,EMAIL2@QQ.COM,NAME050,ADDRESS 33,127.0.0.58,1,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.39,0,1
1800,EMAIL4@GMAIL.COM,NAME011,ADDRESS 68,127.0.0.69,1,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.17,1,0
1252,EMAIL2@GMAIL.COM,NAME041,ADDRESS 46,127.0.0.43,1,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.65,0,0
1696,EMAIL1@QQ.COM,NAME038,ADDRESS 67,127.0.0.14,0,1
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.72,0,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.17,1,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.65,1,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.63,0,0
1800,EMAIL4@GMAIL.COM,NAME001,ADDRESS 47,127.0.0.73,1,1
939,EMAIL1@ORANGE.FR,NAME035,ADDRESS 16,127.0.0.11,0,0
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.72,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 69,127.0.0.15,1,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.17,1,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.39,0,1
1641,EMAIL2@QQ.COM,NAME043,ADDRESS 20,127.0.0.82,1,1
1696,EMAIL1@QQ.COM,NAME038,ADDRESS 67,127.0.0.14,0,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.30,0,0
1252,EMAIL2@GMAIL.COM,NAME010,ADDRESS 32,127.0.0.59,1,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.45,0,1
735,EMAIL2@HOTMAIL.COM,NAME031,ADDRESS 56,127.0.0.67,0,0
1252,EMAIL2@GMAIL.COM,NAME053,ADDRESS 11,127.0.0.44,0,1
759,EMAIL1@GMX.DE,NAME057,ADDRESS 61,127.0.0.21,1,0
735,EMAIL2@HOTMAIL.COM,NAME028,ADDRESS 49,127.0.0.67,0,0
1252,EMAIL2@GMAIL.COM,NAME060,ADDRESS 19,127.0.0.43,0,1
1800,EMAIL4@GMAIL.COM,NAME001,ADDRESS 47,127.0.0.78,1,1
735,EMAIL2@HOTMAIL.COM,NAME026,ADDRESS 54,127.0.0.67,0,0
2064,EMAIL5@GMAIL.COM,NAME012,ADDRESS 62,127.0.0.35,1,0
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.71,1,0
735,EMAIL2@HOTMAIL.COM,NAME020,ADDRESS 53,127.0.0.26,0,0
4052,EMAIL1@GMAIL.COM,NAME067,ADDRESS 35,127.0.0.51,0,1
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.41,0,0
735,EMAIL2@HOTMAIL.COM,NAME027,ADDRESS 53,127.0.0.67,0,0
1800,EMAIL4@GMAIL.COM,NAME048,ADDRESS 9,127.0.0.37,1,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.80,0,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.64,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.15,0,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.17,1,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.15,0,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.46,1,1
1800,EMAIL4@GMAIL.COM,NAME019,ADDRESS 8,127.0.0.81,1,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.39,1,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.50,0,1
1696,EMAIL1@QQ.COM,NAME002,ADDRESS 4,127.0.0.10,1,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.45,1,1
1641,EMAIL2@QQ.COM,NAME037,ADDRESS 34,127.0.0.52,0,1
4052,EMAIL1@GMAIL.COM,NAME070,ADDRESS 15,127.0.0.77,1,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.65,0,0
1800,EMAIL4@GMAIL.COM,NAME001,ADDRESS 47,127.0.0.73,1,1
906,EMAIL1@YAHOO.COM,NAME044,ADDRESS 40,127.0.0.24,1,0
1800,EMAIL4@GMAIL.COM,NAME011,ADDRESS 68,127.0.0.69,1,1
4108,EMAIL3@HOTMAIL.COM,NAME062,ADDRESS 22,127.0.0.57,1,0
4052,EMAIL1@GMAIL.COM,NAME049,ADDRESS 23,127.0.0.76,1,1
939,EMAIL1@ORANGE.FR,NAME022,ADDRESS 16,127.0.0.79,0,0
735,EMAIL2@HOTMAIL.COM,NAME028,ADDRESS 54,127.0.0.67,0,0
1800,EMAIL4@GMAIL.COM,NAME048,ADDRESS 5,127.0.0.37,1,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.61,1,0
906,EMAIL1@YAHOO.COM,NAME044,ADDRESS 40,127.0.0.56,1,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.17,1,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.50,0,1
4052,EMAIL1@GMAIL.COM,NAME005,ADDRESS 31,127.0.0.22,0,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.29,1,0
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.41,0,0
1696,EMAIL1@QQ.COM,NAME038,ADDRESS 67,127.0.0.14,0,1
1696,EMAIL1@QQ.COM,NAME017,ADDRESS 44,127.0.0.10,1,1
4395,EMAIL6@GMAIL.COM,NAME015,ADDRESS 14,127.0.0.38,0,1
4052,EMAIL1@GMAIL.COM,NAME005,ADDRESS 31,127.0.0.22,0,1
735,EMAIL2@HOTMAIL.COM,NAME028,ADDRESS 72,127.0.0.27,0,0
1252,EMAIL2@GMAIL.COM,NAME008,ADDRESS 65,127.0.0.43,1,1
1641,EMAIL2@QQ.COM,NAME056,ADDRESS 13,127.0.0.58,1,1
393,EMAIL1@HOTMAIL.COM,NAME004,ADDRESS 25,127.0.0.72,0,0
1696,EMAIL1@QQ.COM,NAME038,ADDRESS 67,127.0.0.14,0,1
735,EMAIL2@HOTMAIL.COM,NAME032,ADDRESS 56,127.0.0.67,0,0
1696,EMAIL1@QQ.COM,NAME068,ADDRESS 30,127.0.0.10,1,1
735,EMAIL2@HOTMAIL.COM,NAME026,ADDRESS 50,127.0.0.67,0,0
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.17,1,0
1800,EMAIL4@GMAIL.COM,NAME001,ADDRESS 47,127.0.0.73,1,1
4052,EMAIL1@GMAIL.COM,NAME005,ADDRESS 31,127.0.0.22,0,1
939,EMAIL1@ORANGE.FR,NAME035,ADDRESS 16,127.0.0.11,0,0
1696,EMAIL1@QQ.COM,NAME009,ADDRESS 3,127.0.0.13,0,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.45,0,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.62,1,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.50,1,1
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.47,1,1
939,EMAIL1@ORANGE.FR,NAME013,ADDRESS 16,127.0.0.12,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.39,0,1
2064,EMAIL5@GMAIL.COM,NAME071,ADDRESS 62,127.0.0.35,1,0
827,EMAIL3@GMAIL.COM,NAME034,ADDRESS 71,127.0.0.19,0,0
4492,EMAIL1@OUTLOOK.COM,NAME003,ADDRESS 70,127.0.0.39,0,1
77,EMAIL1@GOG.DE,NAME040,ADDRESS 63,127.0.0.80,1,0
1800,EMAIL4@GMAIL.COM,NAME011,ADDRESS 68,127.0.0.69,1,1

